gene_id,role
LOC100679618,zinc finger protein 665
LOC100679688,"zinc finger protein 37, transcript variant X2"
LOC100120169,Sjoegren syndrome nuclear autoantigen 1 homolog
LOC100121371,zinc finger matrin-type protein 5
LOC100121590,proliferating cell nuclear antigen
LOC100121610,"zinc finger protein 37 homolog, transcript variant X2"
Gaj,"meiotic nuclear divisions 1 homolog, transcript variant X1"
LOC107980474,zinc finger HIT domain-containing protein 1
LOC103316586,GATA zinc finger domain-containing protein 24-like
LOC100115702,"zinc finger RNA-binding protein, transcript variant X3"
LOC100116538,replication protein A 70 kDa DNA-binding subunit
LOC100113558,nuclear cap-binding protein subunit 1
LOC116416342,ankyrin repeat and SOCS box protein 10-like
LOC100115899,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 homolog, transcript variant X1"
LOC100116657,polycomb group protein Psc
LOC100114036,nuclear protein 1
LOC100119187,zinc finger MYND domain-containing protein 10
LOC100119224,"DNA-binding protein D-ETS-6-like, transcript variant X1"
LOC100120341,oocyte zinc finger protein XlCOF8.4
LOC100116653,nuclear nucleic acid-binding protein C1D
LOC100679569,"F-box/LRR-repeat protein fbxl-1, transcript variant X1"
Gemin7,gem (nuclear organelle) associated protein 7
LOC100678777,"nuclear envelope pore membrane protein POM 121, transcript variant X1"
LOC103318112,F-box only protein 22-like
LOC100680462,"retinal homeobox protein Rx, transcript variant X3"
LOC100120279,"retina and anterior neural fold homeobox protein 2, transcript variant X1"
LOC116416406,"SCF E3 ubiquitin ligase complex F-box protein grrA-like, transcript variant X1"
LOC100119080,zinc finger protein 236
LOC100118939,homeobox protein goosecoid
LOC103315729,zinc finger protein 771
LOC100121593,"zinc finger protein 467, transcript variant X2"
LOC100678344,"PR domain zinc finger protein 10, transcript variant X2"
LOC100122215,tetra-peptide repeat homeobox protein 1-like
LOC100114153,nuclear migration protein nudC
LOC100122131,"zinc finger SWIM domain-containing protein 8, transcript variant X6"
LOC100120258,zinc finger CCHC domain-containing protein 10
LOC100120173,"zinc finger protein 1, transcript variant X1"
LOC100679459,"zinc finger protein 665, transcript variant X1"
LOC100117178,T-box transcription factor T
LOC100116987,nuclear pore membrane glycoprotein 210
LOC100121023,F-box/LRR-repeat protein 4
LOC103317920,ankyrin repeat and SOCS box protein 13-like
LOC100117294,"probable nuclear hormone receptor HR38, transcript variant X3"
LOC116416338,homeobox protein MSX-2-like
LOC116416235,meiosis-specific nuclear structural protein 1-like
LOC116416293,PR domain zinc finger protein 2-like
LOC116738641,DEAD-box ATP-dependent RNA helicase 42-like
LOC116416434,"GATA zinc finger domain-containing protein 14-like, transcript variant X1"
LOC116416466,GATA zinc finger domain-containing protein 14-like
LOC100679645,zinc finger MYM-type protein 1-like
LOC116416485,acidic leucine-rich nuclear phosphoprotein 32 family member A-like
LOC100678236,"ankyrin repeat and zinc finger domain-containing protein 1, transcript variant X2"
LOC100115891,"TATA box-binding protein-like protein 1, transcript variant X1"
LOC100678874,zinc finger protein 608
LOC116738646,zinc finger protein 608-like
LOC116416518,zinc finger BED domain-containing protein 1-like
LOC100115350,"U4/U6 small nuclear ribonucleoprotein Prp31, transcript variant X2"
LOC100679840,zinc finger MYM-type protein 1-like
LOC107981231,zinc finger BED domain-containing protein 1-like
LOC107981573,"hepatocyte nuclear factor 4-gamma, transcript variant X2"
LOC100119372,"nuclear pore complex protein Nup58, transcript variant X1"
LOC100120346,nuclear pore complex protein Nup85
LOC100120674,"zinc finger protein jing, transcript variant X3"
LOC100121539,"zinc finger protein 143, transcript variant X2"
LOC100121592,"nuclear pore complex protein Nup50, transcript variant X1"
LOC100121665,"LIM/homeobox protein Lhx3, transcript variant X2"
LOC100122336,inhibitor of nuclear factor kappa-B kinase subunit epsilon
LOC100122615,photoreceptor-specific nuclear receptor
LOC100122884,nuclear pore glycoprotein p62
LOC100122975,"zinc finger protein 271, transcript variant X13"
LOC100678971,"zinc finger and SCAN domain-containing protein 10, transcript variant X1"
LOC100678954,smad nuclear-interacting protein 1
LOC100118780,"homeobox protein OTX2, transcript variant X1"
LOC100119384,nuclear receptor coactivator 6-like
LOC100120460,"heterogeneous nuclear ribonucleoprotein L, transcript variant X1"
LOC100120486,F-box only protein 28
LOC100120833,"nuclear receptor subfamily 2 group C member 1, transcript variant X1"
LOC100680257,zinc finger protein 45
LOC100121304,"zinc finger protein 606, transcript variant X1"
LOC100116880,46 kDa FK506-binding nuclear protein
LOC100118225,probable small nuclear ribonucleoprotein Sm D2
LOC100123486,DNA-binding protein D-ETS-4
LOC100678926,"zinc finger protein 91, transcript variant X2"
LOC100679309,"F-box only protein 33, transcript variant X2"
LOC100122540,"homeobox protein SIX1-like, transcript variant X2"
LOC100122315,"zinc finger protein ubi-d4, transcript variant X2"
LOC100122178,germinal-center associated nuclear protein
LOC100121437,"U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein, transcript variant X1"
LOC100121400,"aryl hydrocarbon receptor nuclear translocator homolog, transcript variant X16"
Es2,nuclear protein Es2
LOC100118712,"chromodomain-helicase-DNA-binding protein 1, transcript variant X1"
LOC100115312,"RING finger and CHY zinc finger domain-containing protein 1, transcript variant X2"
LOC100116338,"homeodomain-interacting protein kinase 2, transcript variant X27"
LOC100116733,"LIM/homeobox protein Lhx5, transcript variant X2"
LOC100114102,nuclear receptor 2C2-associated protein
LOC100120267,"nuclear transcription factor Y subunit alpha, transcript variant X5"
LOC100114681,homeobox protein 2-like
LOC100680149,probable helicase with zinc finger domain
LOC100679229,"oocyte zinc finger protein XlCOF28, transcript variant X2"
LOC100118137,"heterogeneous nuclear ribonucleoprotein R, transcript variant X4"
LOC100119888,"pituitary homeobox x, transcript variant X2"
LOC100678998,F-box/LRR-repeat protein 14
LOC100123310,"zinc finger protein 300, transcript variant X1"
LOC100123011,zinc finger protein Noc
LOC100122980,zinc finger protein Elbow
LOC100122733,"CXXC-type zinc finger protein 1, transcript variant X1"
LOC100122702,"putative homeodomain transcription factor, transcript variant X1"
LOC100680150,zinc finger protein rotund-like
LOC100115988,"heterogeneous nuclear ribonucleoprotein F, transcript variant X1"
LOC103315908,zinc finger BED domain-containing protein 1
LOC100115467,small nuclear ribonucleoprotein Sm D3
LOC100286829,"zinc finger protein, transcript variant X1"
LOC100679725,U11/U12 small nuclear ribonucleoprotein 48 kDa protein
LOC100117948,"zinc finger protein ztf-16, transcript variant X3"
LOC100118097,nuclear exosome regulator NRDE2
LOC100118390,zinc finger MYM-type protein 1-like
LOC100119195,"required for meiotic nuclear division protein 1 homolog, transcript variant X2"
LOC100114116,"GTP-binding nuclear protein Ran, transcript variant X5"
LOC100118477,"TAR DNA-binding protein 43, transcript variant X1"
LOC100118660,"116 kDa U5 small nuclear ribonucleoprotein component, transcript variant X1"
LOC100118694,"polycomb group protein Psc, transcript variant X3"
LOC100118736,"polycomb group protein Psc, transcript variant X1"
LOC100677814,U11/U12 small nuclear ribonucleoprotein 35 kDa protein
LOC100677859,"zinc finger protein 37, transcript variant X1"
LOC116416961,zinc finger protein 267
LOC116738546,oocyte zinc finger protein XlCOF26-like
LOC100677990,"zinc finger imprinted 3, transcript variant X4"
LOC116738545,zinc finger protein 26-like
LOC103316120,zinc finger protein 436
LOC116738540,F-box only protein 39-like
LOC100120785,"homeobox protein 5, transcript variant X5"
LOC100121876,"CTD nuclear envelope phosphatase 1 homolog, transcript variant X1"
LOC100122288,"juxtaposed with another zinc finger protein 1, transcript variant X3"
LOC100117338,"AN1-type zinc finger protein 5, transcript variant X1"
LOC100679520,zinc finger protein 888
LOC100117646,"single-stranded DNA-binding protein, mitochondrial"
LOC100122698,ets DNA-binding protein pokkuri
LOC100122728,zinc finger CCHC domain-containing protein 8 homolog
LOC100122985,"paired mesoderm homeobox protein 2A-like, transcript variant X2"
LOC107981660,"GATA zinc finger domain-containing protein 14-like, transcript variant X1"
LOC100677937,"replication protein A 70 kDa DNA-binding subunit-like, transcript variant X2"
LOC100118963,"paired box protein Pax-6, transcript variant X3"
LOC116416640,zinc finger MYM-type protein 1-like
LOC100116047,"zinc finger protein 729, transcript variant X3"
LOC100116995,"zinc finger CCCH domain-containing protein 11A, transcript variant X2"
LOC100116958,"paired box protein Pax-6, transcript variant X7"
LOC100116067,nuclear speckle splicing regulatory protein 1
LOC116416697,"zinc finger MYM-type protein 5-like, transcript variant X1"
LOC100116002,"zinc finger homeobox protein 4, transcript variant X5"
LOC100114420,"regulation of nuclear pre-mRNA domain-containing protein 1B, transcript variant X1"
LOC107980969,"LIM/homeobox protein Awh, transcript variant X1"
LOC100114940,small nuclear ribonucleoprotein-associated protein B
LOC103316922,"nuclear envelope phosphatase-regulatory subunit 1 homolog, transcript variant X13"
LOC100122903,"F-box/LRR-repeat protein fbxl-1, transcript variant X3"
LOC100122480,zinc finger CCCH domain-containing protein 14
LOC100678538,zinc finger CCCH domain-containing protein 3
LOC100121654,"zinc finger protein ush, transcript variant X2"
LOC100121601,probable RNA polymerase II nuclear localization protein SLC7A6OS
LOC100121564,"LIM homeobox transcription factor 1-beta, transcript variant X1"
LOC100680508,zinc finger protein 26
LOC100120298,"nuclear distribution protein nudE homolog 1-like, transcript variant X1"
LOC100119422,"zinc finger MIZ domain-containing protein 2, transcript variant X1"
LOC100679147,acidic leucine-rich nuclear phosphoprotein 32 family member B
LOC100113674,nuclear export mediator factor NEMF homolog
LOC100679352,"paired box pox-meso protein, transcript variant X3"
LOC100115924,zinc finger protein ZPR1
LOC100115806,"homeobox protein six1b, transcript variant X2"
LOC100115478,"F-box protein 11, transcript variant X2"
LOC100679425,zinc finger protein 62 homolog
LOC100120677,"bromodomain adjacent to zinc finger domain protein 1A, transcript variant X1"
LOC100120652,AN1-type zinc finger protein 2A
LOC100118025,"homeobox protein abdominal-A homolog, transcript variant X1"
LOC100119890,"homeobox protein abdominal-B, transcript variant X5"
pros,"homeobox protein prospero, transcript variant X1"
LOC100115469,zinc finger protein-like 1
LOC100117993,"zinc finger protein 622, transcript variant X1"
LOC100118326,"zinc finger matrin-type protein CG9776, transcript variant X1"
LOC100118989,"nuclear factor 1 X-type, transcript variant X1"
LOC100119062,"fez family zinc finger protein erm, transcript variant X2"
LOC100115252,"forkhead box protein P1, transcript variant X22"
LOC103315558,"homeobox protein slou, transcript variant X3"
LOC100677924,"zinc finger Y-chromosomal protein-like, transcript variant X2"
LOC100677868,"zinc finger protein 184-like, transcript variant X4"
LOC103317790,GATA zinc finger domain-containing protein 24-like
LOC100677810,zinc finger protein 142-like
LOC100680530,"zinc finger protein 711-like, transcript variant X2"
LOC100678380,zinc finger protein 12-like
LOC100680382,"zinc finger protein 652, transcript variant X2"
LOC100120470,"zinc finger protein 808, transcript variant X10"
LOC116738574,GATA zinc finger domain-containing protein 24-like
LOC100678144,zinc finger protein 2
LOC100114768,LIM/homeobox protein Lhx9
LOC100117188,"retinal homeobox protein Rx2, transcript variant X1"
LOC100117113,zinc finger protein 341
LOC100117034,"NFX1-type zinc finger-containing protein 1, transcript variant X1"
LOC100116960,"NFX1-type zinc finger-containing protein 1-like, transcript variant X3"
LOC100116879,"NFX1-type zinc finger-containing protein 1, transcript variant X2"
LOC100115921,"F-box/WD repeat-containing protein 5, transcript variant X1"
LOC100680014,"zinc finger protein 836, transcript variant X12"
LOC100114412,forkhead box protein D1
LOC103315694,gastrula zinc finger protein XlCGF7.1
LOC100120358,zinc finger protein zfp-1
LOC100119557,"U4/U6 small nuclear ribonucleoprotein Prp3, transcript variant X1"
LOC100115712,"zinc finger protein 277, transcript variant X2"
LOC100115991,zinc finger protein 830
LOC100117144,"homeobox protein homothorax, transcript variant X2"
LOC100678666,"zinc finger protein 425, transcript variant X1"
LOC100117957,"forkhead box protein N2, transcript variant X1"
LOC100118062,"zinc finger FYVE domain-containing protein 1, transcript variant X1"
LOC100678085,"GATA zinc finger domain-containing protein 14, transcript variant X2"
LOC100119283,"heterogeneous nuclear ribonucleoprotein 27C, transcript variant X2"
LOC100678534,zinc finger protein 253
LOC100114889,polycomb group RING finger protein 3
LOC100114980,homeobox protein MSX-2
LOC100116547,muscle segmentation homeobox
LOC100116335,homeobox protein Nkx-2.5-like
LOC100680456,"homeobox protein Nkx-3.2-like, transcript variant X1"
LOC100116221,homeobox protein B-H2
LOC100116154,T-cell leukemia homeobox protein 3
LOC107981827,zinc finger MYM-type protein 5-like
LOC100678268,HMG box transcription factor BBX
LOC100120562,nuclear factor related to kappa-B-binding protein
LOC100678413,zinc finger protein 850
LOC100120745,nuclear pore complex protein Nup133
LOC100114432,"nuclear factor of activated T-cells 5, transcript variant X5"
LOC100678042,RING-box protein 2
LOC100120909,"paired box protein Pax-2-B, transcript variant X1"
LOC103317603,"nuclear receptor subfamily 2 group E member 1, transcript variant X4"
LOC116417438,zinc finger MYM-type protein 1-like
LOC116417414,zinc finger BED domain-containing protein 1-like
LOC103317092,zinc finger BED domain-containing protein 1-like
LOC100117472,homeobox protein Nkx-2.4
LOC100118080,"GATA zinc finger domain-containing protein 4-like, transcript variant X3"
LOC100680450,"zinc finger CCHC domain-containing protein 7, transcript variant X3"
LOC100123277,F-box/WD repeat-containing protein 4
LOC107981780,homeobox protein Wariai-like
LOC100678397,zinc finger protein with KRAB and SCAN domains 8
LOC100121814,"F-box only protein 28, transcript variant X5"
LOC100123469,"PR domain zinc finger protein 1, transcript variant X3"
LOC100123022,"DNA-binding protein P3A2, transcript variant X13"
LOC100678830,zinc finger protein 510
LOC100122913,"pituitary homeobox 3, transcript variant X1"
LOC100122882,"F-box/WD repeat-containing protein 9, transcript variant X2"
LOC100678227,"zinc finger protein 37 homolog, transcript variant X2"
LOC100680102,"zinc finger protein 880, transcript variant X1"
LOC103317774,"zinc finger protein Dzip1, transcript variant X1"
LOC100114104,zinc finger protein 706
LOC100679255,TATA box-binding protein-associated factor RNA polymerase I subunit B
LOC100119741,zinc finger protein interacting with ribonucleoprotein K
LOC100119604,"putative zinc finger protein 840, transcript variant X3"
LOC100117163,"homeobox protein HMX3, transcript variant X2"
LOC100116552,F-box only protein 21
LOC100679705,"nuclear pore complex protein Nup98-Nup96, transcript variant X10"
LOC103315363,DEAD-box ATP-dependent RNA helicase 42-like
LOC116738675,zinc finger MYM-type protein 5-like
LOC116738673,GATA zinc finger domain-containing protein 14-like
LOC100113616,"AN1-type zinc finger protein 1, transcript variant X1"
LOC100113850,"DEAD-box helicase Dbp80, transcript variant X1"
LOC100113886,"DEAD-box helicase Dbp80, transcript variant X1"
LOC100114112,"nuclear valosin-containing protein-like, transcript variant X2"
LOC116417335,GATA zinc finger domain-containing protein 14-like
LOC116417309,homeobox protein prophet of Pit-1
LOC100679595,zinc finger MYM-type protein 1-like
LOC116417375,F-box only protein 5
LOC116417366,homeobox protein Hox-A2-like
LOC116738690,GATA zinc finger domain-containing protein 16-like
LOC100121515,"nuclear pore complex protein Nup155, transcript variant X2"
LOC100122269,"DNA-binding transcriptional regulator BolA, transcript variant X2"
LOC100122364,"U1 small nuclear ribonucleoprotein A, transcript variant X3"
LOC100122578,"nuclear protein localization protein 4 homolog, transcript variant X14"
LOC100122965,"homeobox protein orthopedia, transcript variant X5"
LOC100123075,"nuclear receptor-binding protein homolog, transcript variant X1"
LOC100120228,zinc finger C4H2 domain-containing protein
LOC100123297,"acidic leucine-rich nuclear phosphoprotein 32 family member A, transcript variant X1"
LOC100123304,"myc box-dependent-interacting protein 1, transcript variant X3"
LOC100680137,zinc finger protein 852
LOC100121811,"DEAD-box ATP-dependent RNA helicase 20, transcript variant X2"
LOC100679980,zinc finger protein 235
LOC100121579,"forkhead box protein J1-B, transcript variant X1"
LOC100119346,probable small nuclear ribonucleoprotein E
LOC100678064,zinc finger protein 808
Snrpc,"small nuclear ribonucleoprotein polypeptide C, transcript variant X1"
LOC103318021,nuclear transcription factor Y subunit beta-like
LOC100123443,"homeobox protein SIX3, transcript variant X1"
LOC100123416,WD repeat and HMG-box DNA-binding protein 1
LOC100679365,"zinc finger protein 394, transcript variant X3"
LOC100122941,"U5 small nuclear ribonucleoprotein 40 kDa protein, transcript variant X1"
LOC100680182,nuclear pore complex protein Nup98-Nup96
LOC100122789,"zinc finger CCCH domain-containing protein 18, transcript variant X7"
LOC100122472,"U11/U12 small nuclear ribonucleoprotein 25 kDa protein, transcript variant X2"
LOC100122046,"chromodomain-helicase-DNA-binding protein Mi-2 homolog, transcript variant X5"
LOC100120937,replication protein A 70 kDa DNA-binding subunit
LOC100119801,"cone-rod homeobox protein, transcript variant X2"
LOC100119073,zinc finger Ran-binding domain-containing protein 2
LOC100680077,"nuclear fragile X mental retardation-interacting protein 1, transcript variant X1"
LOC100124010,"Y-box-binding protein 1, transcript variant X1"
LOC100678368,"nuclear pore complex protein DDB_G0274915, transcript variant X2"
LOC100124140,"homeobox protein 2, transcript variant X2"
LOC100124169,"U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2-like, transcript variant X1"
LOC100124194,"F-box only protein 9, transcript variant X2"
LOC100124207,"TOX high mobility group box family member 3, transcript variant X11"
LOC100124211,"zinc finger protein 236, transcript variant X1"
LOC100124238,"B-box type zinc finger protein ncl-1, transcript variant X2"
LOC100124251,zinc finger protein 853
LOC100124273,"homeobox protein Nkx-6.1-like, transcript variant X1"
LOC100680537,"WD repeat, SAM and U-box domain-containing protein 1, transcript variant X3"
LOC100118760,"GATA zinc finger domain-containing protein 1, transcript variant X4"
LOC100118870,"nuclear pore complex protein Nup107, transcript variant X3"
LOC107981185,zinc finger BED domain-containing protein 1-like
LOC100117090,homeobox protein MSH-D
LOC100118230,homeobox protein Hox-B6a
LOC100119499,"probable nuclear hormone receptor HR3, transcript variant X12"
LOC100677869,"zinc finger HIT domain-containing protein 2, transcript variant X1"
LOC103315636,"heterogeneous nuclear ribonucleoprotein K, transcript variant X4"
LOC100119879,"zinc finger protein 836, transcript variant X1"
LOC100117418,probable small nuclear ribonucleoprotein G
LOC100124136,zinc finger protein 436
LOC100677884,zinc finger protein MSN4
LOC103316306,"zinc finger protein 660-like, transcript variant X2"
LOC100678871,"zinc finger protein 224, transcript variant X1"
LOC100123933,"homeobox protein aristaless, transcript variant X3"
LOC100123905,segmentation polarity homeobox protein engrailed-like
LOC100123902,"homeobox protein invected, transcript variant X2"
LOC100114702,probable small nuclear ribonucleoprotein Sm D1
LOC100677980,"F-box/LRR-repeat protein fbxl-1-like, transcript variant X6"
LOC100123604,"zinc finger protein 729-like, transcript variant X3"
LOC100679269,zinc finger protein 423
LOC100123537,"zinc finger protein OZF, transcript variant X19"
LOC100680013,"zinc finger protein 441-like, transcript variant X3"
LOC116417582,zinc finger and SCAN domain containing protein 4F-like
LOC100679886,"zinc finger protein 556-like, transcript variant X4"
LOC103316221,zinc finger protein 771-like
LOC116417581,zinc finger protein 99
LOC116738598,zinc finger X-chromosomal protein-like
LOC107981104,"myc-associated zinc finger protein-like, transcript variant X1"
LOC107981105,oocyte zinc finger protein XlCOF26-like
LOC100679208,"zinc finger protein 771, transcript variant X2"
LOC100679598,gastrula zinc finger protein XlCGF57.1-like
LOC103316286,zinc finger X-chromosomal protein-like
LOC103316282,zinc finger protein 546-like
LOC116417585,gastrula zinc finger protein XlCGF8.2DB-like
LOC103316281,PR domain zinc finger protein 14
LOC103316232,zinc finger protein 219
LOC100678795,zinc finger protein 845
LOC103316279,zinc finger Y-chromosomal protein
LOC100680340,zinc finger protein 525-like
LOC100121151,DNL-type zinc finger protein
LOC100120954,"homeobox protein HMX3, transcript variant X2"
LOC100120433,"zinc finger FYVE domain-containing protein 16, transcript variant X3"
LOC100113818,U4/U6 small nuclear ribonucleoprotein Prp4
LOC100119626,"homeobox protein onecut, transcript variant X5"
LOC100119546,"bromodomain adjacent to zinc finger domain protein 2B, transcript variant X15"
